Sex/Sexe,NL,PE,NS,NB,QB,ON,MB,SK,AB,BC,YT,NT,NU
Man/Homme,4,4,10,7,59,83,11,10,29,30,1,1,1
Woman/Femme,3,0,1,3,19,38,3,4,5,12,0,0,0
